
time;ax;ay;az;wx;wy;wz;
17,933543;-2,4885;-1,9102;0,7009;-0,4116;0,7763;0,2850;
18,034082;-2,9456;-0,6334;2,4133;0,0392;0,7408;0,3118;
18,134230;-0,4373;-1,3268;0,1547;-0,2136;0,6504;0,1237;
18,233994;-1,4933;-0,5234;2,0211;-0,0426;0,5783;0,1323;
18,334267;-0,3837;-1,5154;2,0819;-0,2039;0,4611;0,2275;
18,434699;-0,3559;0,2017;2,1406;0,0515;0,1410;0,2312;
18,534656;1,2833;1,5003;2,4471;0,1187;0,2778;0,1628;
18,635045;0,2593;-1,4557;0,7854;0,1272;0,3096;0,1994;
18,735449;-1,1555;-1,0115;2,7082;0,0759;0,2338;0,1359;
18,835210;0,0808;-1,1883;2,4024;0,0063;0,1849;0,1042;
18,935577;0,4765;-1,1756;2,0731;-0,0866;0,1764;0,1323;
19,035608;0,5408;-0,9492;3,0680;-0,0133;0,2631;0,1591;
19,136033;0,4961;-0,4361;2,4024;-0,0377;0,2082;0,1176;
19,236470;0,2995;-0,5772;2,9978;-0,0108;0,2277;0,0455;
19,336579;-1,0062;-1,3874;1,2132;0,0185;0,1446;0,1420;
19,436894;0,9246;-0,5679;1,9640;0,0014;0,2069;0,0602;
19,537644;-0,0222;-0,9685;1,0290;-0,0670;0,1190;0,0968;
19,637439;0,3546;-1,0898;1,4136;-0,0438;0,1410;0,1127;
19,737635;1,2459;-0,8045;1,7122;-0,0499;0,1031;0,0944;
19,837682;2,0195;-1,1221;1,0514;-0,0817;0,0505;0,0602;
19,938087;2,3923;-0,0707;1,6869;-0,0854;0,0420;0,0223;
20,037937;1,1483;0,0080;1,6268;-0,0756;-0,0533;-0,0302;
20,138258;2,3689;0,1622;2,1458;-0,0389;-0,0142;-0,0302;
20,238171;0,9742;0,2978;3,1157;-0,0316;-0,0435;-0,0718;
20,338538;1,6847;-0,8098;1,2900;-0,1061;-0,0948;0,0076;
20,438657;1,8177;-0,3921;2,2786;0,0099;-0,0252;0,0480;
20,538958;3,1014;-1,1305;0,3687;0,0124;-0,0570;-0,0644;
20,639325;2,7342;-1,4609;0,6660;-0,0157;-0,1706;-0,1145;
20,739624;3,1796;0,2049;2,4658;-0,0170;-0,0692;-0,0693;
20,839161;2,4962;-0,2995;1,8531;0,0111;-0,2329;0,0370;
20,939750;2,9993;-0,9570;1,7710;-0,0047;-0,1828;-0,0498;
21,039753;2,2741;-0,9779;0,8784;-0,0243;-0,2463;-0,0583;
21,139883;2,0050;-0,2384;2,7274;-0,0121;-0,1596;-0,0473;
21,240083;1,9929;-1,2021;2,0934;0,0551;-0,1901;-0,0730;
21,340301;0,7954;-0,3493;2,0878;0,0380;-0,2903;-0,0388;
21,440594;2,8048;0,3127;3,3318;0,0527;-0,0447;-0,0974;
21,540983;0,8697;-1,8938;1,3859;-0,0047;-0,0887;0,0186;
21,640802;-0,0902;0,1479;1,8323;0,0148;-0,3538;-0,1097;
21,741116;2,1437;0,2688;1,9193;-0,0475;-0,1926;-0,0437;
21,841442;1,1058;0,2114;2,2615;0,0417;-0,1327;-0,0620;
21,941682;1,3224;-0,8148;1,5940;-0,0145;-0,1144;-0,0168;
22,041706;0,5834;-1,0426;0,7103;-0,0072;-0,1645;-0,0205;
22,142383;0,9999;-0,7750;1,8882;0,0002;-0,0948;0,0137;
22,242505;0,5743;-0,5518;1,3564;0,0038;-0,1009;0,0370;
22,342791;0,6946;-0,1554;1,3198;0,0527;-0,1339;-0,0290;
22,442472;1,0038;-0,5945;0,9016;0,1358;-0,1547;-0,0315;
22,542362;0,2976;-1,1805;1,4635;0,0160;-0,0765;0,0137;
22,642436;0,5873;-0,7312;0,6847;-0,0927;-0,0912;-0,0156;
22,742857;0,3930;-1,9214;0,7746;-0,0951;-0,0142;0,0541;
22,843228;-0,1077;-0,7923;0,1201;0,0380;-0,0728;0,0321;
22,942818;-0,1994;0,1523;0,1228;0,0307;-0,0557;-0,0718;
23,042933;0,2023;0,0418;0,7450;0,0209;-0,0240;0,0211;
23,143070;-0,1694;-0,3331;-0,0560;0,0234;-0,0851;-0,0315;
23,243636;0,3527;-0,1184;0,1910;-0,0292;-0,0472;-0,0119;
23,344028;-0,4062;0,1613;0,5816;0,0319;-0,0851;0,0247;
23,444885;0,0358;-0,5038;0,3335;-0,0145;-0,0411;-0,0046;
23,544429;-0,0287;-0,4329;0,2118;-0,0023;-0,0460;-0,0315;
23,644465;0,3293;0,0376;0,4269;-0,0084;-0,0399;0,0089;
23,744459;0,2379;0,1985;0,7395;-0,0279;-0,0228;-0,0070;
23,844698;-0,0919;-0,0770;0,3641;0,0075;-0,0496;0,0186;
