
time;ax;ay;az;wx;wy;wz;
19,039647;-0,1680;-1,0422;0,6854;-0,0327;0,0180;-0,0342;
19,139735;-0,8365;-0,9100;0,1598;-0,0522;-0,0015;0,1051;
19,239809;-0,8999;-0,2494;-0,0691;-0,0535;0,0168;0,0782;
19,340192;0,5155;0,2712;0,7777;-0,0290;0,0254;0,0049;
19,440257;-0,3567;-1,1203;0,6223;0,0272;-0,0113;0,0232;
19,540368;1,8545;-0,8667;0,8626;0,0137;0,1292;-0,0232;
19,640436;-0,0979;-1,1208;1,0256;0,1103;0,0693;0,0012;
19,740750;-0,1002;2,0059;3,0083;0,0663;0,0852;-0,0623;
19,840884;2,0918;-0,9528;0,1253;-0,0596;0,0840;-0,1674;
19,941006;-1,4872;2,7238;1,6474;0,0211;-0,0101;0,1930;
20,041230;-0,4608;-2,5478;-2,0642;-0,0473;-0,0944;-0,0513;
20,141500;0,5855;-1,4219;-0,6595;-0,0388;-0,0260;-0,0892;
20,241938;0,7933;2,5649;1,1721;0,1274;0,0571;-0,1319;
20,341799;0,2052;-1,0061;0,1201;0,0186;-0,0199;-0,0513;
20,441884;1,2991;0,8932;0,5942;-0,0901;0,1035;-0,1136;
20,542213;0,4734;-0,7632;-1,7046;0,0394;-0,0797;-0,1466;
20,642435;-0,2728;-1,4059;-0,5457;-0,1292;-0,1005;0,0599;
20,742216;2,0093;1,2515;1,5571;0,0834;0,0583;-0,2065;
20,842848;0,6620;0,7367;0,3342;0,0125;0,0107;-0,0183;
20,942887;-0,0862;1,4048;0,5997;0,0162;0,0217;0,0305;
21,043253;0,4320;-1,3997;-0,7507;-0,0449;0,0156;-0,0000;
21,143159;-0,2721;-0,7182;-0,3993;0,0199;-0,0602;-0,0318;
21,243577;0,3322;0,4554;1,1859;0,0687;0,0229;-0,0000;
21,344391;0,7562;-0,1374;0,3993;-0,0339;-0,0272;-0,0611;
21,444100;0,0500;-0,1357;0,7238;-0,0034;-0,0027;0,0476;
21,544146;0,7285;0,5657;1,1909;0,0125;0,0559;-0,0037;
21,646448;-0,3504;-2,3634;-0,8219;-0,1097;-0,0675;0,0867;
21,746565;0,6205;0,3393;0,4971;0,0052;0,0351;-0,0391;
21,846942;-0,1775;-1,3818;-0,4208;-0,0864;-0,0687;-0,0110;
21,947236;-0,2193;-0,3180;-0,0278;-0,0412;-0,0406;0,0293;
22,047125;0,0554;-1,3526;0,3401;0,0125;0,0168;-0,0208;
22,147575;0,5774;-0,0989;0,2674;0,0199;-0,0370;-0,0098;
22,247481;-0,0838;0,7000;1,1826;-0,0816;-0,0027;0,0452;
22,347809;0,8791;-0,8804;0,2524;-0,0425;-0,0052;-0,0098;
22,447951;0,4590;-1,3952;-0,1515;-0,0400;0,0021;-0,0122;
22,547633;-0,0275;-1,2536;-0,0621;-0,0131;-0,0272;0,0586;
22,648502;1,2082;0,8871;0,4219;-0,0131;-0,0308;-0,1417;
22,748217;0,2161;-0,6711;0,2903;0,0162;-0,0308;-0,0440;
22,848659;-0,1989;-1,1695;0,4522;-0,0266;-0,0040;0,0415;
22,948708;-0,3897;0,2179;0,4571;0,0394;-0,0919;-0,0525;
23,048740;1,2606;0,9520;1,0863;-0,0522;-0,0406;-0,0782;
23,149115;0,3531;0,6483;2,2052;0,0663;0,0498;0,0257;
23,249255;2,1680;-1,3612;0,7037;-0,0290;-0,0150;-0,0208;
23,349070;1,1551;0,1280;1,3864;-0,0144;0,1732;-0,1124;
23,449151;0,0611;-1,9265;-0,1584;-0,1561;-0,0785;0,0794;
23,549541;1,1052;-0,9279;2,2268;0,0675;0,0217;-0,0049;
23,649668;-0,4434;-1,5876;1,0931;0,0345;-0,0370;0,0257;
23,750345;0,5311;-0,0753;1,5275;0,0137;0,0461;-0,0244;
23,850161;-0,1728;-0,5814;1,0956;0,0089;0,0254;0,0733;
23,950506;1,0814;0,3500;1,0400;0,0357;0,0363;-0,0452;
24,050529;-0,0006;0,0579;0,8332;0,0186;0,0327;0,0586;
24,150540;0,6359;-0,8499;-0,7846;-0,0962;-0,0418;-0,1038;
24,250607;0,3910;-1,0396;-0,3908;-0,0168;-0,0443;-0,0745;
24,351023;0,1343;-0,6564;0,8733;0,0748;0,0168;0,0049;
