
time;ax;ay;az;wx;wy;wz;
16,697273;-0,2459;-1,2575;-1,3812;-0,0644;-0,0570;-0,0414;
16,798386;-0,1812;-0,1416;0,9230;0,0076;-0,0032;0,0295;
16,898220;-0,1308;-0,1916;-0,5057;0,0223;0,0017;-0,0035;
16,999176;0,3221;-0,0728;0,6989;0,0773;0,0224;-0,0133;
17,100674;-0,1852;0,4546;0,7283;0,0223;0,0823;0,0539;
17,201366;-0,4414;0,2341;-0,4006;-0,0437;-0,0472;0,0185;
17,302178;0,1594;0,1107;0,6758;0,0541;0,0237;-0,0145;
17,402301;0,2089;-0,3525;0,1307;-0,0608;0,0420;0,0014;
17,503754;-0,2222;-0,6954;0,4262;0,0027;-0,0240;0,0099;
17,606690;-0,0848;-0,0206;0,3346;0,0223;-0,0423;0,0014;
17,705911;0,3828;-0,1531;-0,1014;-0,0351;-0,0276;-0,0023;
17,806644;-0,1330;-0,6416;0,1584;0,0333;-0,0105;0,0246;
17,906823;0,0409;-0,7874;0,4783;0,0125;-0,0301;0,0405;
18,007030;0,8377;-1,7199;-0,4327;-0,1023;0,0151;0,0185;
18,107316;-0,3967;0,7193;2,0249;0,0724;0,0017;0,1345;
18,207394;-0,3052;1,0869;1,9246;0,0932;0,0689;0,0612;
18,309177;0,8271;-0,7632;0,0856;0,1042;-0,0765;-0,0426;
18,409765;0,6852;-2,1588;-0,8322;-0,1610;-0,0301;0,0124;
18,510549;0,8720;-0,6272;1,0417;0,0675;-0,0973;0,0368;
18,611135;1,8415;-2,1672;0,4313;-0,0669;-0,0643;-0,2344;
18,712598;0,4294;-0,7601;0,8052;-0,0058;-0,0154;-0,0780;
18,812772;1,1842;-0,6055;0,5903;0,0455;-0,1083;-0,0903;
18,914389;0,0167;0,5857;2,5884;0,1530;-0,0044;-0,0023;
19,015100;0,4865;-2,7032;0,1505;-0,0498;-0,1400;0,0942;
19,115719;0,8966;-0,0072;1,3220;-0,0302;0,0457;-0,0341;
19,215885;0,2307;0,1784;2,3043;0,0785;-0,0093;0,0368;
19,316328;1,3338;-1,6091;1,0464;-0,0803;-0,0264;-0,0426;
19,417350;-0,1763;0,0417;0,7530;0,1139;-0,0374;0,0050;
19,517900;0,2683;-1,1283;-0,4175;0,0113;-0,0533;0,0392;
19,618105;0,3742;-0,2140;1,0461;0,0418;0,0567;0,0075;
19,718979;-0,1243;0,0019;1,4098;-0,0302;-0,0020;0,0380;
19,819072;0,2842;-0,2852;1,6055;0,0260;-0,0130;-0,0108;
19,920688;0,8435;-0,6928;0,0278;0,0040;-0,0790;-0,0194;
20,021147;0,6335;-0,3190;0,9898;0,0431;0,0603;0,0478;
20,122090;0,3637;-0,3726;0,7180;-0,0254;0,0322;0,0612;
20,221964;0,8496;0,6431;1,3419;0,0186;0,0701;-0,0060;
20,322916;0,0292;-0,4961;-0,2044;-0,0144;0,0029;-0,0096;
20,423985;-0,3458;0,0126;0,3430;0,0284;-0,0008;0,0649;
20,524783;0,3998;0,1294;0,9042;0,0932;0,0786;0,0258;
20,626013;-0,2255;0,1312;0,8158;0,0089;0,0322;0,0637;
20,726396;0,6171;-0,1357;-0,3154;0,0235;0,0860;-0,0133;
20,826835;-0,4608;-0,2833;0,0210;-0,0034;-0,0032;0,0466;
20,926989;-0,2192;0,2500;0,2898;0,0492;0,0469;0,0783;
21,027467;0,0735;0,3119;0,7319;0,0455;0,0689;0,0783;
21,127760;0,6223;0,3347;0,5480;0,0357;0,0811;0,0490;
21,228059;-0,9861;0,4290;0,4548;0,0235;-0,0081;0,0845;
21,329070;0,8724;-0,0040;0,1575;-0,0254;0,0237;-0,0487;
21,429300;-0,4068;-0,3726;-0,1722;-0,0205;0,0151;0,0380;
21,530498;0,0564;-0,2921;0,3054;0,0076;0,0542;0,0356;
21,632467;0,3487;0,2111;0,0932;0,0137;0,0261;0,0014;
21,732436;-0,0015;0,2714;0,4423;0,0443;0,0347;0,0307;
21,834005;0,0431;-0,0412;0,2315;0,0076;0,0628;0,0234;
21,934079;-0,3587;0,3018;-0,5257;0,0235;0,0713;0,0307;
22,034530;-0,8062;0,2478;-1,2073;0,0321;0,0420;0,0148;
22,135134;-0,8260;0,4116;-0,7791;0,0333;0,0371;0,0368;
22,235165;-0,8440;0,5547;-0,6932;0,0480;0,0615;0,0380;
22,335298;-0,8221;0,0139;-0,9820;0,0516;0,1153;0,0564;
